Algorithm,Steps,Total Weight,Nodes Explored,Time (ms),Memory (MB),Solution Found,Date
BFS,3,20,9,0.10,0.0075,Yes,2024-11-07 14:02:23
DFS,3,20,3,0.04,0.0027,Yes,2024-11-07 14:02:23
UCS,3,20,55,0.46,13.4531,Yes,2024-11-07 14:02:23
A*,3,20,44,0.27489662170410156,13.484375,Yes,2024-11-07 14:02:23
BFS,21,131,1753,11.14,0.3541,Yes,2024-11-07 14:02:23
DFS,63,489,9952,56.79,0.9914,Yes,2024-11-07 14:02:23
UCS,21,131,977,11.82,16.6094,Yes,2024-11-07 14:02:23
A*,21,131,149,1.1739730834960938,16.609375,Yes,2024-11-07 14:02:23
BFS,30,310,3885,22.65,0.5921,Yes,2024-11-07 14:02:23
DFS,49,310,820,4.54,0.0884,Yes,2024-11-07 14:02:23
UCS,30,310,2215,26.68,18.3125,Yes,2024-11-07 14:02:23
A*,30,310,471,4.006862640380859,18.3125,Yes,2024-11-07 14:02:23
BFS,97,656,9323,52.15,1.0549,Yes,2024-11-07 14:02:23
DFS,249,888,5003,28.34,0.6562,Yes,2024-11-07 14:02:23
UCS,97,656,4354,61.60,22.2656,Yes,2024-11-07 14:02:23
A*,97,656,1922,15.497922897338867,19.515625,Yes,2024-11-07 14:02:23
BFS,42,604,113883,812.02,17.1575,Yes,2024-11-07 14:02:24
DFS,70,604,12035,69.85,1.7098,Yes,2024-11-07 14:02:24
UCS,50,406,9893,127.43,53.3594,Yes,2024-11-07 14:02:24
A*,50,406,3491,39.51287269592285,53.484375,Yes,2024-11-07 14:02:24
BFS,29,339,301676,2339.28,53.4568,Yes,2024-11-07 14:02:27
DFS,1505,5916,243702,1538.74,28.5337,Yes,2024-11-07 14:02:28
UCS,29,339,44407,822.59,158.9375,Yes,2024-11-07 14:02:29
A*,29,339,27394,277.7209281921387,137.265625,Yes,2024-11-07 14:02:29
BFS,23,478,268162,2332.63,64.9689,Yes,2024-11-07 14:02:32
DFS,153519,534742,21260348,283047.97,18180.6966,Yes,2024-11-07 14:07:15
UCS,29,332,74567,1576.08,1042.4531,Yes,2024-11-07 14:07:16
A*,29,332,31798,391.92700386047363,935.015625,Yes,2024-11-07 14:07:17
BFS,51,3104,1327867,10245.07,156.8553,Yes,2024-11-07 14:07:27
DFS,1439,33544,1317758,8658.73,127.0884,Yes,2024-11-07 14:07:36
UCS,55,1514,115176,2239.57,1090.2969,Yes,2024-11-07 14:07:38
A*,55,1514,43061,578.9198875427246,980.375,Yes,2024-11-07 14:07:39
BFS,44,1563,10047162,93595.19,1568.8825,Yes,2024-11-07 14:09:12
UCS,44,1563,753920,16040.42,809.8906
UCS,55,1514,115176,2116.69,163.0156
BFS,3,20,9,0.12,0.0075
DFS,3,20,3,0.04,0.0027,Yes,2024-11-07 16:09:35
UCS,3,20,55,0.49,13.5000
A*,3,20,5,0.034809112548828125,13.5
BFS,21,131,1753,10.94,0.3609
DFS,63,489,9952,55.65,0.9914,Yes,2024-11-07 16:09:35
UCS,21,131,977,11.75,16.3281
A*,21,131,98,0.8020401000976562,16.421875
BFS,30,310,3885,22.45,0.5921
DFS,49,310,820,4.51,0.0884,Yes,2024-11-07 16:09:35
UCS,30,310,2215,26.98,18.4062
A*,30,310,384,3.4089088439941406,18.4375
BFS,97,656,9323,52.82,1.0549
DFS,249,888,5003,27.92,0.6562,Yes,2024-11-07 16:09:35
UCS,97,656,4354,62.39,22.6562
A*,97,656,1540,13.035058975219727,20.65625
BFS,42,604,113883,835.69,17.1575
DFS,70,604,12035,69.08,1.7098,Yes,2024-11-07 16:09:36
UCS,50,406,9893,130.53,53.8594
A*,50,406,1154,12.212038040161133,53.859375
BFS,29,339,301676,2336.81,53.4567
DFS,1505,5916,243702,1553.96,28.5711,Yes,2024-11-07 16:09:40
UCS,29,339,44407,836.36,164.6875
A*,29,339,4262,39.559125900268555,145.4375
BFS,23,478,268162,2399.14,64.9270
BFS,3,20,9,0.14,0.0075
DFS,3,20,3,0.05,0.0027,Yes,2024-11-07 16:15:37
UCS,3,20,55,0.50,14.7344
A*,3,20,5,0.032901763916015625,14.734375
BFS,21,131,1753,11.20,0.3609
DFS,63,489,9952,55.85,0.9914,Yes,2024-11-07 16:15:37
UCS,21,131,977,11.84,17.4531
A*,21,131,98,0.8461475372314453,17.453125
BFS,30,310,3885,22.75,0.5921
DFS,49,310,820,4.43,0.0884,Yes,2024-11-07 16:15:37
UCS,30,310,2215,26.36,19.4219
A*,30,310,384,3.2110214233398438,19.421875
BFS,97,656,9323,51.21,1.0549
DFS,249,888,5003,27.70,0.6562,Yes,2024-11-07 16:15:37
UCS,97,656,4354,72.60,23.9844
A*,97,656,1540,13.113737106323242,22.984375
BFS,42,604,113883,819.74,17.1575
DFS,70,604,12035,70.73,1.7098,Yes,2024-11-07 16:15:38
UCS,50,406,9893,128.65,52.9844
A*,50,406,1154,12.047767639160156,52.984375
BFS,29,339,301676,2346.30,53.4568
DFS,1505,5916,243702,1578.34,28.5723,Yes,2024-11-07 16:15:42
UCS,29,339,44407,822.92,161.3594
A*,29,339,4262,41.05091094970703,141.625
